,PLAYER_NAME,TEAM_ABBREVIATION,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,season
275,Kendrick Perkins,OKC,65,0.708,26.8,104.7,101.0,3.7,0.064,0.66,15.3,0.073,0.164,0.121,23.1,0.489,0.528,0.109,95.55,0.06,3480,2.0,4.0,0.489,2012
276,Kenneth Faried,DEN,46,0.587,22.5,108.5,107.8,0.7,0.055,0.67,7.6,0.139,0.205,0.172,11.4,0.586,0.618,0.181,95.74,0.13,2064,3.9,6.7,0.586,2012
277,Kenyon Martin,LAC,42,0.571,22.4,102.3,100.1,2.2,0.031,0.56,6.1,0.052,0.148,0.099,10.8,0.448,0.445,0.136,90.5,0.063,1765,2.3,5.2,0.441,2012
278,Kevin Durant,OKC,66,0.712,38.6,109.1,101.9,7.2,0.17,0.93,11.7,0.017,0.177,0.103,12.5,0.547,0.61,0.303,95.22,0.186,5054,9.7,19.7,0.496,2012
279,Kevin Garnett,BOS,60,0.617,31.1,102.3,95.3,7.0,0.171,1.64,15.3,0.04,0.231,0.141,9.4,0.505,0.55,0.246,92.03,0.168,3583,6.5,13.0,0.503,2012
280,Kevin Love,MIN,55,0.436,39.0,105.4,104.8,0.6,0.098,0.87,7.4,0.102,0.236,0.168,8.5,0.497,0.568,0.282,94.93,0.176,4243,8.6,19.3,0.448,2012
281,Kevin Martin,HOU,40,0.5,31.6,103.7,104.3,-0.6,0.146,1.57,13.8,0.01,0.075,0.043,8.8,0.486,0.554,0.242,94.42,0.106,2486,5.6,13.4,0.413,2012
282,Kevin Seraphin,WAS,57,0.281,20.6,99.2,99.8,-0.7,0.048,0.5,6.4,0.088,0.149,0.119,12.9,0.531,0.549,0.181,93.65,0.101,2283,3.6,6.7,0.531,2012
283,Keyon Dooling,BOS,46,0.565,14.4,90.9,101.0,-10.0,0.138,1.5,19.5,0.005,0.055,0.031,13.0,0.488,0.515,0.153,90.91,0.049,1255,1.4,3.5,0.405,2012
284,Kirk Hinrich,ATL,48,0.563,25.8,102.3,100.0,2.2,0.162,2.28,26.5,0.009,0.077,0.043,11.6,0.493,0.511,0.138,91.91,0.061,2367,2.5,6.1,0.414,2012
285,Klay Thompson,GSW,66,0.348,24.4,102.8,107.2,-4.4,0.142,1.29,13.4,0.015,0.086,0.051,10.4,0.52,0.545,0.243,94.33,0.087,3164,4.8,10.9,0.443,2012
286,Kobe Bryant,LAL,58,0.621,38.5,104.8,102.1,2.7,0.237,1.29,13.3,0.031,0.104,0.069,10.3,0.462,0.527,0.346,92.95,0.143,4332,9.9,23.0,0.43,2012
287,Kosta Koufos,DEN,48,0.583,16.5,108.9,102.0,7.0,0.028,0.45,5.6,0.126,0.209,0.169,12.4,0.599,0.608,0.139,95.36,0.108,1569,2.4,4.0,0.599,2012
